,Unnamed: 0,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
111,111,112,0,3,1,14.5,1,0,14.4542
112,112,113,0,3,0,22.0,0,0,8.05
113,113,114,0,3,1,20.0,1,0,9.825
114,114,115,0,3,1,17.0,0,0,14.4583
115,115,116,0,3,0,21.0,0,0,7.925
116,116,117,0,3,0,70.5,0,0,7.75
117,117,118,0,2,0,29.0,1,0,21.0
118,118,119,0,1,0,24.0,0,1,247.5208
119,119,120,0,3,1,2.0,4,2,31.275
120,120,121,0,2,0,21.0,2,0,73.5
121,121,122,0,3,0,,0,0,8.05
122,122,123,0,2,0,32.5,1,0,30.0708
123,123,124,1,2,1,32.5,0,0,13.0
124,124,125,0,1,0,54.0,0,1,77.2875
125,125,126,1,3,0,12.0,1,0,11.2417
126,126,127,0,3,0,,0,0,7.75
127,127,128,1,3,0,24.0,0,0,7.1417
128,128,129,1,3,1,,1,1,22.3583
129,129,130,0,3,0,45.0,0,0,6.975
130,130,131,0,3,0,33.0,0,0,7.8958
131,131,132,0,3,0,20.0,0,0,7.05
132,132,133,0,3,1,47.0,1,0,14.5
133,133,134,1,2,1,29.0,1,0,26.0
134,134,135,0,2,0,25.0,0,0,13.0
135,135,136,0,2,0,23.0,0,0,15.0458
136,136,137,1,1,1,19.0,0,2,26.2833
137,137,138,0,1,0,37.0,1,0,53.1
138,138,139,0,3,0,16.0,0,0,9.2167
139,139,140,0,1,0,24.0,0,0,79.2
140,140,141,0,3,1,,0,2,15.2458
141,141,142,1,3,1,22.0,0,0,7.75
142,142,143,1,3,1,24.0,1,0,15.85
143,143,144,0,3,0,19.0,0,0,6.75
144,144,145,0,2,0,18.0,0,0,11.5
145,145,146,0,2,0,19.0,1,1,36.75
146,146,147,1,3,0,27.0,0,0,7.7958
147,147,148,0,3,1,9.0,2,2,34.375
148,148,149,0,2,0,36.5,0,2,26.0
149,149,150,0,2,0,42.0,0,0,13.0
150,150,151,0,2,0,51.0,0,0,12.525
151,151,152,1,1,1,22.0,1,0,66.6
152,152,153,0,3,0,55.5,0,0,8.05
153,153,154,0,3,0,40.5,0,2,14.5
154,154,155,0,3,0,,0,0,7.3125
155,155,156,0,1,0,51.0,0,1,61.3792
156,156,157,1,3,1,16.0,0,0,7.7333
157,157,158,0,3,0,30.0,0,0,8.05
158,158,159,0,3,0,,0,0,8.6625
159,159,160,0,3,0,,8,2,69.55
160,160,161,0,3,0,44.0,0,1,16.1
161,161,162,1,2,1,40.0,0,0,15.75
162,162,163,0,3,0,26.0,0,0,7.775
163,163,164,0,3,0,17.0,0,0,8.6625
164,164,165,0,3,0,1.0,4,1,39.6875
165,165,166,1,3,0,9.0,0,2,20.525
166,166,167,1,1,1,,0,1,55.0
167,167,168,0,3,1,45.0,1,4,27.9
168,168,169,0,1,0,,0,0,25.925
169,169,170,0,3,0,28.0,0,0,56.4958
170,170,171,0,1,0,61.0,0,0,33.5
171,171,172,0,3,0,4.0,4,1,29.125
172,172,173,1,3,1,1.0,1,1,11.1333
173,173,174,0,3,0,21.0,0,0,7.925
174,174,175,0,1,0,56.0,0,0,30.6958
175,175,176,0,3,0,18.0,1,1,7.8542
176,176,177,0,3,0,,3,1,25.4667
177,177,178,0,1,1,50.0,0,0,28.7125
178,178,179,0,2,0,30.0,0,0,13.0
179,179,180,0,3,0,36.0,0,0,0.0
180,180,181,0,3,1,,8,2,69.55
181,181,182,0,2,0,,0,0,15.05
182,182,183,0,3,0,9.0,4,2,31.3875
183,183,184,1,2,0,1.0,2,1,39.0
184,184,185,1,3,1,4.0,0,2,22.025
185,185,186,0,1,0,,0,0,50.0
186,186,187,1,3,1,,1,0,15.5
187,187,188,1,1,0,45.0,0,0,26.55
188,188,189,0,3,0,40.0,1,1,15.5
189,189,190,0,3,0,36.0,0,0,7.8958
190,190,191,1,2,1,32.0,0,0,13.0
191,191,192,0,2,0,19.0,0,0,13.0
192,192,193,1,3,1,19.0,1,0,7.8542
193,193,194,1,2,0,3.0,1,1,26.0
194,194,195,1,1,1,44.0,0,0,27.7208
195,195,196,1,1,1,58.0,0,0,146.5208
196,196,197,0,3,0,,0,0,7.75
197,197,198,0,3,0,42.0,0,1,8.4042
198,198,199,1,3,1,,0,0,7.75
199,199,200,0,2,1,24.0,0,0,13.0
200,200,201,0,3,0,28.0,0,0,9.5
201,201,202,0,3,0,,8,2,69.55
202,202,203,0,3,0,34.0,0,0,6.4958
203,203,204,0,3,0,45.5,0,0,7.225
204,204,205,1,3,0,18.0,0,0,8.05
205,205,206,0,3,1,2.0,0,1,10.4625
206,206,207,0,3,0,32.0,1,0,15.85
207,207,208,1,3,0,26.0,0,0,18.7875
208,208,209,1,3,1,16.0,0,0,7.75
209,209,210,1,1,0,40.0,0,0,31.0
210,210,211,0,3,0,24.0,0,0,7.05
211,211,212,1,2,1,35.0,0,0,21.0
212,212,213,0,3,0,22.0,0,0,7.25
213,213,214,0,2,0,30.0,0,0,13.0
214,214,215,0,3,0,,1,0,7.75
215,215,216,1,1,1,31.0,1,0,113.275
216,216,217,1,3,1,27.0,0,0,7.925
217,217,218,0,2,0,42.0,1,0,27.0
218,218,219,1,1,1,32.0,0,0,76.2917
219,219,220,0,2,0,30.0,0,0,10.5
220,220,221,1,3,0,16.0,0,0,8.05
221,221,222,0,2,0,27.0,0,0,13.0
222,222,223,0,3,0,51.0,0,0,8.05
223,223,224,0,3,0,,0,0,7.8958
224,224,225,1,1,0,38.0,1,0,90.0
225,225,226,0,3,0,22.0,0,0,9.35
226,226,227,1,2,0,19.0,0,0,10.5
227,227,228,0,3,0,20.5,0,0,7.25
228,228,229,0,2,0,18.0,0,0,13.0
229,229,230,0,3,1,,3,1,25.4667
230,230,231,1,1,1,35.0,1,0,83.475
231,231,232,0,3,0,29.0,0,0,7.775
232,232,233,0,2,0,59.0,0,0,13.5
233,233,234,1,3,1,5.0,4,2,31.3875
234,234,235,0,2,0,24.0,0,0,10.5
235,235,236,0,3,1,,0,0,7.55
236,236,237,0,2,0,44.0,1,0,26.0
237,237,238,1,2,1,8.0,0,2,26.25
238,238,239,0,2,0,19.0,0,0,10.5
239,239,240,0,2,0,33.0,0,0,12.275
240,240,241,0,3,1,,1,0,14.4542
241,241,242,1,3,1,,1,0,15.5
242,242,243,0,2,0,29.0,0,0,10.5
243,243,244,0,3,0,22.0,0,0,7.125
244,244,245,0,3,0,30.0,0,0,7.225
245,245,246,0,1,0,44.0,2,0,90.0
246,246,247,0,3,1,25.0,0,0,7.775
247,247,248,1,2,1,24.0,0,2,14.5
248,248,249,1,1,0,37.0,1,1,52.5542
249,249,250,0,2,0,54.0,1,0,26.0
250,250,251,0,3,0,,0,0,7.25
251,251,252,0,3,1,29.0,1,1,10.4625
252,252,253,0,1,0,62.0,0,0,26.55
253,253,254,0,3,0,30.0,1,0,16.1
254,254,255,0,3,1,41.0,0,2,20.2125
255,255,256,1,3,1,29.0,0,2,15.2458
256,256,257,1,1,1,,0,0,79.2
257,257,258,1,1,1,30.0,0,0,86.5
258,258,259,1,1,1,35.0,0,0,512.3292
259,259,260,1,2,1,50.0,0,1,26.0
260,260,261,0,3,0,,0,0,7.75
261,261,262,1,3,0,3.0,4,2,31.3875
262,262,263,0,1,0,52.0,1,1,79.65
263,263,264,0,1,0,40.0,0,0,0.0
264,264,265,0,3,1,,0,0,7.75
265,265,266,0,2,0,36.0,0,0,10.5
266,266,267,0,3,0,16.0,4,1,39.6875
267,267,268,1,3,0,25.0,1,0,7.775
268,268,269,1,1,1,58.0,0,1,153.4625
269,269,270,1,1,1,35.0,0,0,135.6333
270,270,271,0,1,0,,0,0,31.0
271,271,272,1,3,0,25.0,0,0,0.0
272,272,273,1,2,1,41.0,0,1,19.5
273,273,274,0,1,0,37.0,0,1,29.7
274,274,275,1,3,1,,0,0,7.75
275,275,276,1,1,1,63.0,1,0,77.9583
276,276,277,0,3,1,45.0,0,0,7.75
277,277,278,0,2,0,,0,0,0.0
278,278,279,0,3,0,7.0,4,1,29.125
279,279,280,1,3,1,35.0,1,1,20.25
280,280,281,0,3,0,65.0,0,0,7.75
281,281,282,0,3,0,28.0,0,0,7.8542
282,282,283,0,3,0,16.0,0,0,9.5
283,283,284,1,3,0,19.0,0,0,8.05
284,284,285,0,1,0,,0,0,26.0
285,285,286,0,3,0,33.0,0,0,8.6625
286,286,287,1,3,0,30.0,0,0,9.5
287,287,288,0,3,0,22.0,0,0,7.8958
288,288,289,1,2,0,42.0,0,0,13.0
289,289,290,1,3,1,22.0,0,0,7.75
290,290,291,1,1,1,26.0,0,0,78.85
291,291,292,1,1,1,19.0,1,0,91.0792
292,292,293,0,2,0,36.0,0,0,12.875
293,293,294,0,3,1,24.0,0,0,8.85
294,294,295,0,3,0,24.0,0,0,7.8958
295,295,296,0,1,0,,0,0,27.7208
296,296,297,0,3,0,23.5,0,0,7.2292
297,297,298,0,1,1,2.0,1,2,151.55
298,298,299,1,1,0,,0,0,30.5
299,299,300,1,1,1,50.0,0,1,247.5208
300,300,301,1,3,1,,0,0,7.75
301,301,302,1,3,0,,2,0,23.25
302,302,303,0,3,0,19.0,0,0,0.0
303,303,304,1,2,1,,0,0,12.35
304,304,305,0,3,0,,0,0,8.05
305,305,306,1,1,0,0.92,1,2,151.55
306,306,307,1,1,1,,0,0,110.8833
307,307,308,1,1,1,17.0,1,0,108.9
308,308,309,0,2,0,30.0,1,0,24.0
309,309,310,1,1,1,30.0,0,0,56.9292
310,310,311,1,1,1,24.0,0,0,83.1583
311,311,312,1,1,1,18.0,2,2,262.375
312,312,313,0,2,1,26.0,1,1,26.0
313,313,314,0,3,0,28.0,0,0,7.8958
314,314,315,0,2,0,43.0,1,1,26.25
315,315,316,1,3,1,26.0,0,0,7.8542
316,316,317,1,2,1,24.0,1,0,26.0
317,317,318,0,2,0,54.0,0,0,14.0
318,318,319,1,1,1,31.0,0,2,164.8667
319,319,320,1,1,1,40.0,1,1,134.5
320,320,321,0,3,0,22.0,0,0,7.25
321,321,322,0,3,0,27.0,0,0,7.8958
322,322,323,1,2,1,30.0,0,0,12.35
323,323,324,1,2,1,22.0,1,1,29.0
324,324,325,0,3,0,,8,2,69.55
325,325,326,1,1,1,36.0,0,0,135.6333
326,326,327,0,3,0,61.0,0,0,6.2375
327,327,328,1,2,1,36.0,0,0,13.0
328,328,329,1,3,1,31.0,1,1,20.525
329,329,330,1,1,1,16.0,0,1,57.9792
330,330,331,1,3,1,,2,0,23.25
331,331,332,0,1,0,45.5,0,0,28.5
332,332,333,0,1,0,38.0,0,1,153.4625
333,333,334,0,3,0,16.0,2,0,18.0
334,334,335,1,1,1,,1,0,133.65
335,335,336,0,3,0,,0,0,7.8958
336,336,337,0,1,0,29.0,1,0,66.6
337,337,338,1,1,1,41.0,0,0,134.5
338,338,339,1,3,0,45.0,0,0,8.05
339,339,340,0,1,0,45.0,0,0,35.5
340,340,341,1,2,0,2.0,1,1,26.0
341,341,342,1,1,1,24.0,3,2,263.0
342,342,343,0,2,0,28.0,0,0,13.0
343,343,344,0,2,0,25.0,0,0,13.0
344,344,345,0,2,0,36.0,0,0,13.0
345,345,346,1,2,1,24.0,0,0,13.0
346,346,347,1,2,1,40.0,0,0,13.0
347,347,348,1,3,1,,1,0,16.1
348,348,349,1,3,0,3.0,1,1,15.9
349,349,350,0,3,0,42.0,0,0,8.6625
350,350,351,0,3,0,23.0,0,0,9.225
351,351,352,0,1,0,,0,0,35.0
352,352,353,0,3,0,15.0,1,1,7.2292
353,353,354,0,3,0,25.0,1,0,17.8
354,354,355,0,3,0,,0,0,7.225
355,355,356,0,3,0,28.0,0,0,9.5
356,356,357,1,1,1,22.0,0,1,55.0
357,357,358,0,2,1,38.0,0,0,13.0
358,358,359,1,3,1,,0,0,7.8792
359,359,360,1,3,1,,0,0,7.8792
360,360,361,0,3,0,40.0,1,4,27.9
361,361,362,0,2,0,29.0,1,0,27.7208
362,362,363,0,3,1,45.0,0,1,14.4542
363,363,364,0,3,0,35.0,0,0,7.05
364,364,365,0,3,0,,1,0,15.5
365,365,366,0,3,0,30.0,0,0,7.25
366,366,367,1,1,1,60.0,1,0,75.25
367,367,368,1,3,1,,0,0,7.2292
368,368,369,1,3,1,,0,0,7.75
369,369,370,1,1,1,24.0,0,0,69.3
370,370,371,1,1,0,25.0,1,0,55.4417
371,371,372,0,3,0,18.0,1,0,6.4958
372,372,373,0,3,0,19.0,0,0,8.05
373,373,374,0,1,0,22.0,0,0,135.6333
374,374,375,0,3,1,3.0,3,1,21.075
375,375,376,1,1,1,,1,0,82.1708
376,376,377,1,3,1,22.0,0,0,7.25
377,377,378,0,1,0,27.0,0,2,211.5
378,378,379,0,3,0,20.0,0,0,4.0125
379,379,380,0,3,0,19.0,0,0,7.775
380,380,381,1,1,1,42.0,0,0,227.525
381,381,382,1,3,1,1.0,0,2,15.7417
382,382,383,0,3,0,32.0,0,0,7.925
383,383,384,1,1,1,35.0,1,0,52.0
384,384,385,0,3,0,,0,0,7.8958
385,385,386,0,2,0,18.0,0,0,73.5
386,386,387,0,3,0,1.0,5,2,46.9
387,387,388,1,2,1,36.0,0,0,13.0
388,388,389,0,3,0,,0,0,7.7292
389,389,390,1,2,1,17.0,0,0,12.0
390,390,391,1,1,0,36.0,1,2,120.0
391,391,392,1,3,0,21.0,0,0,7.7958
392,392,393,0,3,0,28.0,2,0,7.925
393,393,394,1,1,1,23.0,1,0,113.275
394,394,395,1,3,1,24.0,0,2,16.7
395,395,396,0,3,0,22.0,0,0,7.7958
396,396,397,0,3,1,31.0,0,0,7.8542
397,397,398,0,2,0,46.0,0,0,26.0
398,398,399,0,2,0,23.0,0,0,10.5
399,399,400,1,2,1,28.0,0,0,12.65
400,400,401,1,3,0,39.0,0,0,7.925
401,401,402,0,3,0,26.0,0,0,8.05
402,402,403,0,3,1,21.0,1,0,9.825
403,403,404,0,3,0,28.0,1,0,15.85
404,404,405,0,3,1,20.0,0,0,8.6625
405,405,406,0,2,0,34.0,1,0,21.0
406,406,407,0,3,0,51.0,0,0,7.75
407,407,408,1,2,0,3.0,1,1,18.75
408,408,409,0,3,0,21.0,0,0,7.775
409,409,410,0,3,1,,3,1,25.4667
410,410,411,0,3,0,,0,0,7.8958
411,411,412,0,3,0,,0,0,6.8583
412,412,413,1,1,1,33.0,1,0,90.0
413,413,414,0,2,0,,0,0,0.0
414,414,415,1,3,0,44.0,0,0,7.925
415,415,416,0,3,1,,0,0,8.05
416,416,417,1,2,1,34.0,1,1,32.5
417,417,418,1,2,1,18.0,0,2,13.0
418,418,419,0,2,0,30.0,0,0,13.0
419,419,420,0,3,1,10.0,0,2,24.15
420,420,421,0,3,0,,0,0,7.8958
421,421,422,0,3,0,21.0,0,0,7.7333
422,422,423,0,3,0,29.0,0,0,7.875
423,423,424,0,3,1,28.0,1,1,14.4
424,424,425,0,3,0,18.0,1,1,20.2125
425,425,426,0,3,0,,0,0,7.25
426,426,427,1,2,1,28.0,1,0,26.0
427,427,428,1,2,1,19.0,0,0,26.0
428,428,429,0,3,0,,0,0,7.75
429,429,430,1,3,0,32.0,0,0,8.05
430,430,431,1,1,0,28.0,0,0,26.55
431,431,432,1,3,1,,1,0,16.1
432,432,433,1,2,1,42.0,1,0,26.0
433,433,434,0,3,0,17.0,0,0,7.125
434,434,435,0,1,0,50.0,1,0,55.9
435,435,436,1,1,1,14.0,1,2,120.0
436,436,437,0,3,1,21.0,2,2,34.375
437,437,438,1,2,1,24.0,2,3,18.75
438,438,439,0,1,0,64.0,1,4,263.0
439,439,440,0,2,0,31.0,0,0,10.5
440,440,441,1,2,1,45.0,1,1,26.25
441,441,442,0,3,0,20.0,0,0,9.5
442,442,443,0,3,0,25.0,1,0,7.775
443,443,444,1,2,1,28.0,0,0,13.0
444,444,445,1,3,0,,0,0,8.1125
445,445,446,1,1,0,4.0,0,2,81.8583
446,446,447,1,2,1,13.0,0,1,19.5
447,447,448,1,1,0,34.0,0,0,26.55
448,448,449,1,3,1,5.0,2,1,19.2583
449,449,450,1,1,0,52.0,0,0,30.5
450,450,451,0,2,0,36.0,1,2,27.75
451,451,452,0,3,0,,1,0,19.9667
452,452,453,0,1,0,30.0,0,0,27.75
453,453,454,1,1,0,49.0,1,0,89.1042
454,454,455,0,3,0,,0,0,8.05
455,455,456,1,3,0,29.0,0,0,7.8958
456,456,457,0,1,0,65.0,0,0,26.55
457,457,458,1,1,1,,1,0,51.8625
458,458,459,1,2,1,50.0,0,0,10.5
459,459,460,0,3,0,,0,0,7.75
460,460,461,1,1,0,48.0,0,0,26.55
461,461,462,0,3,0,34.0,0,0,8.05
462,462,463,0,1,0,47.0,0,0,38.5
463,463,464,0,2,0,48.0,0,0,13.0
464,464,465,0,3,0,,0,0,8.05
465,465,466,0,3,0,38.0,0,0,7.05
466,466,467,0,2,0,,0,0,0.0
467,467,468,0,1,0,56.0,0,0,26.55
468,468,469,0,3,0,,0,0,7.725
469,469,470,1,3,1,0.75,2,1,19.2583
470,470,471,0,3,0,,0,0,7.25
471,471,472,0,3,0,38.0,0,0,8.6625
472,472,473,1,2,1,33.0,1,2,27.75
473,473,474,1,2,1,23.0,0,0,13.7917
474,474,475,0,3,1,22.0,0,0,9.8375
475,475,476,0,1,0,,0,0,52.0
476,476,477,0,2,0,34.0,1,0,21.0
477,477,478,0,3,0,29.0,1,0,7.0458
478,478,479,0,3,0,22.0,0,0,7.5208
479,479,480,1,3,1,2.0,0,1,12.2875
480,480,481,0,3,0,9.0,5,2,46.9
481,481,482,0,2,0,,0,0,0.0
482,482,483,0,3,0,50.0,0,0,8.05
483,483,484,1,3,1,63.0,0,0,9.5875
484,484,485,1,1,0,25.0,1,0,91.0792
485,485,486,0,3,1,,3,1,25.4667
486,486,487,1,1,1,35.0,1,0,90.0
487,487,488,0,1,0,58.0,0,0,29.7
488,488,489,0,3,0,30.0,0,0,8.05
489,489,490,1,3,0,9.0,1,1,15.9
490,490,491,0,3,0,,1,0,19.9667
491,491,492,0,3,0,21.0,0,0,7.25
492,492,493,0,1,0,55.0,0,0,30.5
493,493,494,0,1,0,71.0,0,0,49.5042
494,494,495,0,3,0,21.0,0,0,8.05
495,495,496,0,3,0,,0,0,14.4583
496,496,497,1,1,1,54.0,1,0,78.2667
497,497,498,0,3,0,,0,0,15.1
498,498,499,0,1,1,25.0,1,2,151.55
499,499,500,0,3,0,24.0,0,0,7.7958
500,500,501,0,3,0,17.0,0,0,8.6625
501,501,502,0,3,1,21.0,0,0,7.75
502,502,503,0,3,1,,0,0,7.6292
503,503,504,0,3,1,37.0,0,0,9.5875
504,504,505,1,1,1,16.0,0,0,86.5
505,505,506,0,1,0,18.0,1,0,108.9
506,506,507,1,2,1,33.0,0,2,26.0
507,507,508,1,1,0,,0,0,26.55
508,508,509,0,3,0,28.0,0,0,22.525
509,509,510,1,3,0,26.0,0,0,56.4958
510,510,511,1,3,0,29.0,0,0,7.75
511,511,512,0,3,0,,0,0,8.05
512,512,513,1,1,0,36.0,0,0,26.2875
513,513,514,1,1,1,54.0,1,0,59.4
514,514,515,0,3,0,24.0,0,0,7.4958
515,515,516,0,1,0,47.0,0,0,34.0208
516,516,517,1,2,1,34.0,0,0,10.5
517,517,518,0,3,0,,0,0,24.15
518,518,519,1,2,1,36.0,1,0,26.0
519,519,520,0,3,0,32.0,0,0,7.8958
520,520,521,1,1,1,30.0,0,0,93.5
521,521,522,0,3,0,22.0,0,0,7.8958
522,522,523,0,3,0,,0,0,7.225
523,523,524,1,1,1,44.0,0,1,57.9792
524,524,525,0,3,0,,0,0,7.2292
525,525,526,0,3,0,40.5,0,0,7.75
526,526,527,1,2,1,50.0,0,0,10.5
527,527,528,0,1,0,,0,0,221.7792
528,528,529,0,3,0,39.0,0,0,7.925
529,529,530,0,2,0,23.0,2,1,11.5
530,530,531,1,2,1,2.0,1,1,26.0
531,531,532,0,3,0,,0,0,7.2292
532,532,533,0,3,0,17.0,1,1,7.2292
533,533,534,1,3,1,,0,2,22.3583
534,534,535,0,3,1,30.0,0,0,8.6625
535,535,536,1,2,1,7.0,0,2,26.25
536,536,537,0,1,0,45.0,0,0,26.55
537,537,538,1,1,1,30.0,0,0,106.425
538,538,539,0,3,0,,0,0,14.5
539,539,540,1,1,1,22.0,0,2,49.5
540,540,541,1,1,1,36.0,0,2,71.0
541,541,542,0,3,1,9.0,4,2,31.275
542,542,543,0,3,1,11.0,4,2,31.275
543,543,544,1,2,0,32.0,1,0,26.0
544,544,545,0,1,0,50.0,1,0,106.425
545,545,546,0,1,0,64.0,0,0,26.0
546,546,547,1,2,1,19.0,1,0,26.0
547,547,548,1,2,0,,0,0,13.8625
548,548,549,0,3,0,33.0,1,1,20.525
549,549,550,1,2,0,8.0,1,1,36.75
550,550,551,1,1,0,17.0,0,2,110.8833
551,551,552,0,2,0,27.0,0,0,26.0
552,552,553,0,3,0,,0,0,7.8292
553,553,554,1,3,0,22.0,0,0,7.225
554,554,555,1,3,1,22.0,0,0,7.775
555,555,556,0,1,0,62.0,0,0,26.55
556,556,557,1,1,1,48.0,1,0,39.6
557,557,558,0,1,0,,0,0,227.525
558,558,559,1,1,1,39.0,1,1,79.65
559,559,560,1,3,1,36.0,1,0,17.4
560,560,561,0,3,0,,0,0,7.75
561,561,562,0,3,0,40.0,0,0,7.8958
562,562,563,0,2,0,28.0,0,0,13.5
563,563,564,0,3,0,,0,0,8.05
564,564,565,0,3,1,,0,0,8.05
565,565,566,0,3,0,24.0,2,0,24.15
566,566,567,0,3,0,19.0,0,0,7.8958
567,567,568,0,3,1,29.0,0,4,21.075
568,568,569,0,3,0,,0,0,7.2292
569,569,570,1,3,0,32.0,0,0,7.8542
570,570,571,1,2,0,62.0,0,0,10.5
571,571,572,1,1,1,53.0,2,0,51.4792
572,572,573,1,1,0,36.0,0,0,26.3875
573,573,574,1,3,1,,0,0,7.75
574,574,575,0,3,0,16.0,0,0,8.05
575,575,576,0,3,0,19.0,0,0,14.5
576,576,577,1,2,1,34.0,0,0,13.0
577,577,578,1,1,1,39.0,1,0,55.9
578,578,579,0,3,1,,1,0,14.4583
579,579,580,1,3,0,32.0,0,0,7.925
580,580,581,1,2,1,25.0,1,1,30.0
581,581,582,1,1,1,39.0,1,1,110.8833
582,582,583,0,2,0,54.0,0,0,26.0
583,583,584,0,1,0,36.0,0,0,40.125
584,584,585,0,3,0,,0,0,8.7125
585,585,586,1,1,1,18.0,0,2,79.65
586,586,587,0,2,0,47.0,0,0,15.0
